,Topic0,Topic1,Topic2,Topic3,Topic4,Topic5,Topic6,Topic7,Topic8,Topic9,dominant_topic
Doc0,0.03,0.03,0.03,0.03,0.03,0.03,0.3,0.03,0.03,0.5,9
Doc1,0.02,0.22,0.62,0.02,0.02,0.02,0.02,0.02,0.02,0.02,2
Doc2,0.03,0.03,0.03,0.7,0.03,0.03,0.03,0.03,0.03,0.03,3
Doc3,0.02,0.02,0.02,0.02,0.42,0.22,0.22,0.02,0.02,0.02,4
Doc4,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.55,9
Doc5,0.02,0.42,0.02,0.42,0.02,0.02,0.02,0.02,0.02,0.02,1
Doc6,0.42,0.02,0.02,0.25,0.02,0.02,0.02,0.02,0.19,0.02,0
Doc7,0.02,0.26,0.02,0.02,0.02,0.02,0.02,0.02,0.58,0.02,8
Doc8,0.02,0.02,0.02,0.33,0.02,0.2,0.02,0.02,0.18,0.18,3
Doc9,0.03,0.03,0.37,0.03,0.37,0.03,0.03,0.03,0.03,0.03,2
Doc10,0.03,0.03,0.03,0.28,0.03,0.27,0.03,0.03,0.03,0.28,3
Doc11,0.03,0.03,0.03,0.37,0.03,0.03,0.37,0.03,0.03,0.03,3
Doc12,0.03,0.03,0.03,0.03,0.03,0.03,0.77,0.03,0.03,0.03,6
Doc13,0.03,0.03,0.03,0.77,0.03,0.03,0.03,0.03,0.03,0.03,3
Doc14,0.02,0.02,0.02,0.38,0.26,0.02,0.02,0.02,0.02,0.22,3
Doc15,0.02,0.02,0.02,0.42,0.02,0.02,0.02,0.02,0.02,0.42,3
Doc16,0.02,0.02,0.02,0.22,0.02,0.02,0.02,0.02,0.62,0.02,8
Doc17,0.37,0.03,0.03,0.03,0.37,0.03,0.03,0.03,0.03,0.03,0
Doc18,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.7,0.03,8
Doc19,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.7,0.03,8
Doc20,0.05,0.05,0.55,0.05,0.05,0.05,0.05,0.05,0.05,0.05,2
Doc21,0.02,0.02,0.19,0.51,0.02,0.02,0.18,0.02,0.02,0.02,3
Doc22,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.27,0.03,0.52,9
Doc23,0.38,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.42,0.03,8
Doc24,0.03,0.03,0.03,0.27,0.03,0.03,0.03,0.03,0.53,0.03,8
Doc25,0.03,0.03,0.7,0.03,0.03,0.03,0.03,0.03,0.03,0.03,2
Doc26,0.35,0.02,0.02,0.02,0.02,0.02,0.02,0.52,0.02,0.02,7
Doc27,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.7,9
Doc28,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0
Doc29,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.55,0.05,0.05,7
Doc30,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.55,9
Doc31,0.02,0.24,0.02,0.02,0.02,0.02,0.02,0.44,0.02,0.18,7
Doc32,0.02,0.02,0.02,0.22,0.62,0.02,0.02,0.02,0.02,0.02,4
Doc33,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.37,0.37,8
Doc34,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.55,9
Doc35,0.37,0.03,0.03,0.03,0.03,0.03,0.37,0.03,0.03,0.03,0
Doc36,0.02,0.02,0.22,0.02,0.18,0.02,0.02,0.02,0.02,0.46,9
Doc37,0.05,0.05,0.05,0.55,0.05,0.05,0.05,0.05,0.05,0.05,3
Doc38,0.03,0.03,0.27,0.03,0.03,0.27,0.03,0.27,0.03,0.03,2
Doc39,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.52,0.03,0.28,7
Doc40,0.02,0.02,0.32,0.02,0.02,0.52,0.02,0.02,0.02,0.02,5
Doc41,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.7,9
Doc42,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0
Doc43,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.55,0.05,8
Doc44,0.03,0.03,0.03,0.42,0.03,0.03,0.32,0.03,0.03,0.03,3
Doc45,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.7,9
Doc46,0.03,0.03,0.37,0.03,0.03,0.03,0.03,0.03,0.03,0.37,2
Doc47,0.03,0.03,0.46,0.03,0.03,0.34,0.03,0.03,0.03,0.03,2
Doc48,0.05,0.05,0.05,0.05,0.05,0.55,0.05,0.05,0.05,0.05,5
Doc49,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.55,0.05,8
Doc50,0.05,0.05,0.05,0.05,0.55,0.05,0.05,0.05,0.05,0.05,4
Doc51,0.02,0.02,0.02,0.35,0.02,0.27,0.02,0.02,0.27,0.02,3
Doc52,0.03,0.03,0.03,0.37,0.03,0.03,0.37,0.03,0.03,0.03,3
Doc53,0.05,0.05,0.05,0.55,0.05,0.05,0.05,0.05,0.05,0.05,3
Doc54,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.55,9
Doc55,0.27,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.52,9
Doc56,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0
Doc57,0.03,0.03,0.03,0.48,0.32,0.03,0.03,0.03,0.03,0.03,3
Doc58,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0
Doc59,0.03,0.03,0.03,0.03,0.37,0.03,0.03,0.03,0.37,0.03,4
Doc60,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0
Doc61,0.05,0.05,0.05,0.05,0.55,0.05,0.05,0.05,0.05,0.05,4
Doc62,0.03,0.03,0.03,0.03,0.03,0.03,0.28,0.27,0.03,0.27,6
Doc63,0.03,0.03,0.7,0.03,0.03,0.03,0.03,0.03,0.03,0.03,2
Doc64,0.03,0.37,0.03,0.03,0.03,0.03,0.03,0.37,0.03,0.03,1
Doc65,0.03,0.03,0.03,0.03,0.53,0.03,0.03,0.03,0.03,0.27,4
Doc66,0.05,0.05,0.05,0.05,0.55,0.05,0.05,0.05,0.05,0.05,4
Doc67,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.55,9
Doc68,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.7,9
Doc69,0.01,0.01,0.01,0.31,0.01,0.01,0.01,0.01,0.01,0.58,9
Doc70,0.05,0.05,0.05,0.05,0.05,0.55,0.05,0.05,0.05,0.05,5
Doc71,0.03,0.03,0.03,0.03,0.37,0.03,0.03,0.03,0.03,0.37,4
Doc72,0.05,0.05,0.05,0.05,0.05,0.05,0.55,0.05,0.05,0.05,6
Doc73,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0
Doc74,0.03,0.03,0.03,0.03,0.03,0.37,0.03,0.03,0.03,0.37,5
Doc75,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.27,0.52,0.03,8
Doc76,0.03,0.03,0.03,0.7,0.03,0.03,0.03,0.03,0.03,0.03,3
Doc77,0.05,0.05,0.55,0.05,0.05,0.05,0.05,0.05,0.05,0.05,2
Doc78,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.55,0.05,8
Doc79,0.03,0.34,0.03,0.03,0.03,0.28,0.03,0.03,0.21,0.03,1
Doc80,0.05,0.05,0.05,0.05,0.55,0.05,0.05,0.05,0.05,0.05,4
Doc81,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0
Doc82,0.03,0.7,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,1
Doc83,0.02,0.82,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1
Doc84,0.03,0.03,0.03,0.37,0.03,0.03,0.03,0.03,0.03,0.37,3
Doc85,0.03,0.03,0.37,0.03,0.03,0.03,0.03,0.37,0.03,0.03,2
Doc86,0.77,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0
Doc87,0.55,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0
Doc88,0.03,0.03,0.03,0.03,0.28,0.03,0.03,0.03,0.52,0.03,8
Doc89,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0
Doc90,0.03,0.03,0.35,0.03,0.03,0.38,0.03,0.03,0.03,0.03,5
Doc91,0.03,0.7,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,1
Doc92,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.55,9
Doc93,0.05,0.05,0.55,0.05,0.05,0.05,0.05,0.05,0.05,0.05,2
Doc94,0.01,0.01,0.01,0.12,0.01,0.21,0.01,0.01,0.56,0.01,8
Doc95,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.73,0.16,0.01,7
Doc96,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.55,0.05,0.05,7
Doc97,0.03,0.03,0.03,0.03,0.03,0.4,0.03,0.03,0.4,0.03,5
Doc98,0.01,0.01,0.01,0.01,0.01,0.3,0.01,0.16,0.44,0.01,8
Doc99,0.03,0.03,0.03,0.28,0.03,0.03,0.27,0.03,0.27,0.03,3
Doc100,0.03,0.03,0.03,0.03,0.03,0.7,0.03,0.03,0.03,0.03,5
Doc101,0.05,0.05,0.55,0.05,0.05,0.05,0.05,0.05,0.05,0.05,2
Doc102,0.03,0.03,0.03,0.37,0.03,0.37,0.03,0.03,0.03,0.03,3
Doc103,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0
Doc104,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0
Doc105,0.05,0.05,0.05,0.05,0.05,0.55,0.05,0.05,0.05,0.05,5
Doc106,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.55,9
Doc107,0.02,0.02,0.02,0.02,0.02,0.33,0.02,0.02,0.28,0.25,5
Doc108,0.05,0.05,0.05,0.05,0.05,0.55,0.05,0.05,0.05,0.05,5
Doc109,0.03,0.03,0.03,0.03,0.03,0.7,0.03,0.03,0.03,0.03,5
Doc110,0.05,0.05,0.05,0.55,0.05,0.05,0.05,0.05,0.05,0.05,3
Doc111,0.05,0.05,0.05,0.05,0.05,0.3,0.05,0.05,0.3,0.05,5
Doc112,0.22,0.22,0.02,0.02,0.02,0.12,0.02,0.02,0.12,0.22,0
Doc113,0.03,0.03,0.37,0.03,0.03,0.37,0.03,0.03,0.03,0.03,2
Doc114,0.03,0.03,0.37,0.03,0.03,0.37,0.03,0.03,0.03,0.03,2
Doc115,0.26,0.01,0.01,0.01,0.01,0.64,0.01,0.01,0.01,0.01,5
Doc116,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0
Doc117,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.62,0.02,0.22,7
Doc118,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0
Doc119,0.03,0.03,0.03,0.03,0.03,0.7,0.03,0.03,0.03,0.03,5
Doc120,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0
Doc121,0.03,0.03,0.03,0.52,0.03,0.03,0.03,0.03,0.03,0.27,3
Doc122,0.03,0.03,0.37,0.03,0.03,0.37,0.03,0.03,0.03,0.03,2
Doc123,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.37,0.37,8
Doc124,0.03,0.03,0.03,0.03,0.37,0.03,0.03,0.37,0.03,0.03,4
Doc125,0.03,0.03,0.03,0.03,0.03,0.03,0.37,0.37,0.03,0.03,6
Doc126,0.03,0.03,0.7,0.03,0.03,0.03,0.03,0.03,0.03,0.03,2
Doc127,0.03,0.33,0.03,0.03,0.03,0.03,0.03,0.03,0.47,0.03,8
Doc128,0.37,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.37,0
Doc129,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0
Doc130,0.02,0.02,0.02,0.22,0.02,0.22,0.02,0.02,0.02,0.42,9
Doc131,0.02,0.02,0.02,0.18,0.22,0.02,0.02,0.45,0.02,0.02,7
Doc132,0.05,0.05,0.05,0.05,0.05,0.55,0.05,0.05,0.05,0.05,5
Doc133,0.03,0.03,0.03,0.03,0.03,0.77,0.03,0.03,0.03,0.03,5
Doc134,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0
